,,,,,Mild-moderate dilated by volume index,,,,
,,,,,Mild-moderately dilated by visual assessment,,,,
,,,Moderate,,Moderately dilated by biplane volume index,,,,
,,,,,Moderately dilated by volume index,,,,
,,,,,Moderately dilated by visual estimate,,,,
,,,,,Moderately dilated,,,,
,,,,,Moderately dilated by monoplane volume index,,,,
,,,Moderate-severe,,Moderate-severely dilated by volume index,,,,
,,,Severe,,Severely dilated by biplane volume index,,,,
,,,,,Severely dilated by volume index,,,,
,,,,,Severely dilated by visual estimate,,,,
,,,,,Severely dilated,,,,
,,,,,Severely dilated by monoplane volume index,,,,
,LAA Closure Device,LAA Closure Device,Boolean,,Amplatzer device implanted in the left atrial appendage,,,,
,,,,,Watchman device implanted in the left atrial appendage,,,,
,,,,,LAA closure device,,,,
,,,,,LAA closure device in situ,,,,
,,,,,LAA device in situ,,,,
,Quality of Scan,Quality,NWS,,Not well seen,,,,
,,,,,The left atrium was not well visualized,,,,
,,,,,Unable to accurately measure LA volume,,,,
,,,Underestimated,,LA volume likely underestimated,,,,
,,,,,LA volume may be underestimated,,,,
Right Atrium,Cavity Size,RA volume index (right atrium index),#,,{FROM MEASUREMENTS},,,,
,,Cavity Size,Normal,,Normal size by volume index,,,,
,,,,,Normal in size by volume index,,,,
,,,,,Normal size by visual estimate,,,,
,,,,,Normal size,,,,
,,,,,Normal in size,,,,
,,,,,Upper normal size by visual assessment,,,,
,,,Abnormal,,Dilated by volume index,,,,
,,,,,Dilated,,,,
,,,,Mild,Mildly dilated by visual estimate,,,,
,,,,,Mildly dilated by visual assessment,,,,
,,,,,Mildly dilated,,,,
,,,,,Mildly dilated RA,,,,
,,,,,Mild RA enlargement by visual assessment,,,,
,,,,Mild-moderate,Mild-moderately dilated by visual estimate,,,,
,,,,Moderate,Moderately dilated by volume index,,,,
,,,,,Moderately dilated by visual estimate,,,,
,,,,,Moderate dilated by visual estimate,,,,
,,,,,Moderately dilated,,,,
,,,,,Moderate RA enlargement,,,,
,,,,,At least moderately dilated by visual estimate,,,,
,,,,Moderate-severe,Moderate-severely dilated by visual estimate,,,,
,,,,Severe,Severely dilated by volume index,,,,
,,,,,Severely dilated by visual estimate,,,,
,,,,,Severely dilated,,,,
,Incidental,Eustachian Valve,Boolean,,Prominent Eustachian valve,,,,
,,,,,Prominent Eustachian valve and prominent Chiari network,,,,
,,,,,Prominent Chiari network and prominent Eustachian valve,,,,
,,Chiari Network,Boolean,,Prominent Chiari network,,,,
,,,,,Prominent Eustachian valve and prominent Chiari network,,,,
,,,,,Prominent Chiari network and prominent Eustachian valve,,,,
,,,,,Chiari network,,,,
,Coronary Sinus,Dilated Size,Boolean,,Dilated coronary sinus,,,,
,,,,,Markedly dilated coronary sinus,,,,
,Quality of Scan,Quality,NWS,,The right atrium was not well visualized,,,,
Mitral Valve,Structure,Leaflet Thickening,Normal,,Normal valve leaflets,,,,
,,,Mild,,Mild leaflet thickening,,,,
,,,,,Mild leaflet thickening and mild leaflet calcification,,,,
,,,Moderate,,Moderate leaflet thickening,,,,
,,Calcification Severity,Mild,,Mild annular calcification,,,,
,,,,,Mild posterior annular calcification,,,,
,,,,,Mild diffuse/circumferential annular calcification,,,,
,,,,,Mild leaflet thickening and mild leaflet calcification,,,,
,,,Moderate,,Moderate annular calcification,,,,
,,,,,Moderate posterior annular calcification,,,,
,,,,,Moderate diffuse/circumferential annular calcification,,,,
,,,Severe,,Severe annular calcification,,,,
,,,,,Severe posterior annular calcification,,,,
,,Prolapse,Anterior,,Definite prolapse of the anterior and posterior leaflets,,,,
,,,,,Probable prolapse of the anterior leaflet,,,,
,,,Posterior,,Definite prolapse of the anterior and posterior leaflets,,,,
,,,,,Definte prolapse of the posterior leaflet,,,,
,,Rheumatic Valve,Boolean,,Rheumatic valve leaflets,,,,
,,Myxomatous,Boolean,,,,,,
,,Malcoapting,Boolean,,Tethering of the posterior leaflet,,,,
,Regurgitation,Quantity,None,,No evidence of regurgitation,,,,
,,,,,No regurgitation,,,,
,,,Trivial,,Trivial regurgitation,,,,
,,,Mild,,Mild regurgitation,,,,
,,,,,Mild central regurgitation,,,,
,,,,,Mild posterior regurgitation,,,,
,,,,,Mild multiple jets of regurgitation,,,,
,,,Mild-moderate,,Mild to moderate regurgitation,,,,
,,,,,Mild to moderate central regurgitation,,,,
,,,,,Mild to moderate posterior regurgitation,,,,
,,,,,Mild to moderate multiple jets of regurgitation,,,,
,,,Moderate,,Moderate regurgitation,,,,
,,,,,Moderate central regurgitation,,,,
,,,,,Moderate posterior regurgitation,,,,
,,,,,Moderate multiple jets of regurgitation,,,,
,,,Moderate-severe,,Moderate to severe regurgitation,,,,
,,,Severe,,,,,,
,,Direction,Central,,Mild central regurgitation,,,,
,,,,,Mild to moderate central regurgitation,,,,
,,,,,Moderate central regurgitation,,,,
,,,Posterior,,Mild posterior regurgitation,,,,
,,,,,Mild to moderate posterior regurgitation,,,,
,,,,,Moderate posterior regurgitation,,,,
,,Multiple Jets,Boolean,,Mild multiple jets of regurgitation,,,,
,,,,,Mild to moderate multiple jets of regurgitation,,,,
,,,,,Moderate multiple jets of regurgitation,,,,
,,MR EROA,#,,{FROM MEASUREMENTS},,,,
,,MR Vena Contracta,#,,{FROM MEASUREMENTS},,,,
,,MR Volume,#,,{FROM MEASUREMENTS},,,,
,Stenosis,Grade,Mild-moderate,,Mild to moderate stenosis,,,,
,,,Severe,,,,,,
,,,Very severe,,,,,,
,,MV Mean Grad (Mean Pressure Gradient),#,,{FROM MEASUREMENTS},,,,
,,,#,,Mean pressure gradient,,,,
,,Area by Continuity Equation,#,,Valve area by continuity equation is,,,,
,,"MVA, P1/2 Time",#,,{FROM MEASUREMENTS},,,,
,,,#,,Valve area by pressure half time method is,,,,
,Doppler,MV Peak E,#,,{FROM MEASUREMENTS},,,,
,,MV Peak A,#,,{FROM MEASUREMENTS},,,,
,,MV E/A Ratio,#,,{FROM MEASUREMENTS},,,,
,Prolapse,Leaflets,Anterior,,Definite prolapse of the anterior and posterior leaflets,,,,
,,,,,Probable prolapse of the anterior leaflet,,,,
,,,Posterior,,Definite prolapse of the anterior and posterior leaflets,,,,
,,,,,Definte prolapse of the posterior leaflet,,,,
,Systolic Anterior Motion,SAM structure,Chordae,,Mild systolic anterior motion of the chordal apparatus,,,,
,,SAM severity,Mild,,Mild systolic anterior motion of the chordal apparatus,,,,
,Pulmonary Vein,Flow Pattern,Normal,,Pulmonary vein normal flow pattern,,,,
,,,,,Normal pulmonary veins,,,,
,,,Blunting,,Pulmonary vein systolic blunting flow pattern,,,,
,Annuloplasty Ring,Annuloplasty Ring,Boolean,,Annuloplasty ring,,,,
,Prosthetic,Type,Mechanical,,Mechanical prosthesis,,,,
,,,Bioprosthesis,,Bioprosthesis,,,,
,,Well Seated,Boolean,,Prosthesis well seated,,,,
,,,,,"Prosthesis well seated, normal prosthesis hemodynamics",,,,
,,Hemodynamics,Normal,,"Prosthesis well seated, normal prosthesis hemodynamics",,,,
,,Regurgitation,Trivial,,Trivial valvular prosthesis regurgitation,,,,
,,,Mild,,Mild valvular prosthesis regurgitation,,,,
,Left Ventricle Relationship,Low Output State,Boolean,,The opening of the leaflets is consistent with low output state,,,,
,Quality of Scan,Quality,Underestimated,,"Regurgitation not well seen due to shadowing, may be underestimated",,,,
Tricuspid Valve,Structure,Leaflet Thickening,Normal,,Normal valve leaflets,,,,
,,,,,Normal valve,,,,
,,,Mild,,Mildly thickened leaflets,,,,
,,,,,"Mildly thickened, normal mobility of the leaflets",,,,
,,Mobility,Normal,,Normal mobility of the leaflets,,,,
,,,,,Normal valve,,,,
,,,,,"Mildly thickened, normal mobility of the leaflets",,,,
,,Dilated Annulus,Boolean,,There is tricuspid annulus dilation,,,,
,,,,,There is tricuspid valve annular dilation,,,,
,,,,,Dilated tricuspid annulus,,,,
,,Prolapse,Boolean,,Probable prolapse,,,,
,,,,,Definite prolapse of the anterior leaflet,,,,
,,Rheumatic Valve,Boolean,,Rheumatic valve,,,,
,,Myxomatous,Boolean,,Myxomatous valve,,,,
,,Malcoapting,Boolean,,Malcoapting leaflets,,,,
,Regurgitation,Quantity,None,,No regurgitation,,,,
,,,Trivial,,Trivial regurgitation,,,,
,,,Mild,,Mild regurgitation,,,,
,,,Mild-moderate,,Mild to moderate regurgitation,,,,
,,,,,Mild to moderate regurgitation centrally directed,,,,
,,,,,Mild to moderate regurgitation jet directed towards the atrial septum,,,,
,,,,,Mild-moderate tricuspid regurgitation,,,,
,,,Moderate,,Moderate regurgitation,,,,
,,,,,Moderate regurgitation centrally directed,,,,
,,,,,Moderate regurgitation jet directed towards the atrial septum,,,,
,,,Moderate-severe,,Moderate to severe regurgitation,,,,
,,,,,Moderate to severe regurgitation centrally directed,,,,
,,,,,Moderate to severe regurgitation jet directed towards the atrial septum,,,,
,,,Severe,,Severe regurgitation,,,,
,,,,,Severe regurgitation centrally directed,,,,
,,,,,Severe regurgitation jet directed towards the atrial septum,,,,
,,Direction,Central,,Mild to moderate regurgitation centrally directed,,,,
,,,,,Moderate regurgitation centrally directed,,,,
,,,,,Moderate to severe regurgitation centrally directed,,,,
,,,,,Severe regurgitation centrally directed,,,,
,,,IAS,,Mild to moderate regurgitation jet directed towards the atrial septum,,,,
,,,,,Moderate regurgitation jet directed towards the atrial septum,,,,
,,,,,Moderate to severe regurgitation jet directed towards the atrial septum,,,,
,,,,,Severe regurgitation jet directed towards the atrial septum,,,,
,Stenosis,TV Mean PG,#,,{FROM MEASUREMENTS},,,,
,,,,,Mean gradient,,,,
,Hepatic Veins,Flow Pattern,Normal,,Hepatic vein has a normal flow pattern,,,,
,,,Systolic Blunting,,Hepatic vein has a systolic blunting flow pattern,,,,
,,,Systolic Reversal,,"Hepatic vein has a systolic flow reversal, suggestive of signficiant tricuspid regurgitation",,,,
,,Dilated,Boolean,,Dilated hepatic veins,,,,
,Annuloplasty Ring,Annuloplasty Ring,Boolean,,Annuloplasty ring,,,,
,,,,,Ring,,,,
,,Post-repair Regurgitation,Trivial,,Trivial residual regurgitation post repair,,,,
,,,Mild,,Mild residual regurgitation post repair,,,,
,,,Mild-moderate,,Mild to moderate residual regurgitation post repair,,,,
,,,Moderate,,Moderate residual regurgitation post repair,,,,
,Prosthetic,Type,Bioprosthesis,,Bioprosthesis,,,,
,,Well Seated,Boolean,,Prosthesis well seated,,,,
,,,,,"Prosthesis well seated, normal prosthesis hemodynamics",,,,
,,Hemodynamics,Normal,,Normal prosthesis hemodynamics,,,,
,,,,,"Prosthesis well seated, normal prosthesis hemodynamics",,,,
,,Regurgitation,Trivial,,Trivial valvular prosthesis regurgitation,,,,
,,,Mild,,Mild valvular prosthesis regurgitation,,,,
,,,Mild-moderate,,Mild to moderate valvular prosthesis regurgitation,,,,
,,,Moderate,,Moderate valvular prosthesis regurgitation,,,,
,Masses,Mass,None,,No TV vegetation was visualized,,,,
,Quality of Scan,Quality,NWS,,The tricuspid valve is not well seen,,,,
Aortic Valve,Structure,Number of Cusps,Trileaflet,,Trileaflet valve,,,,
,,,,,Trileaflet valve; normal structure,,,,
,,,,,Trileaflet valve; sclerosis,,,,
,,,,,Trileaflet valve; mild valve thickening,,,,
,,,,,Trileaflet valve; moderate valve thickening,,,,
,,,Bicuspid,,Bicuspid valve (RCC-LCC raphe); sclerosis,,,,
,,,Unknown,,Unable to determine number of leaflets,,,,
,,,,,Unable to determine number of leaflets; sclerosis,,,,
,,,,,Unable to determine number of leaflets; moderate valve thickening,,,,
,,Calcification,None,,Trileaflet valve; normal structure,,,,
,,,Sclerosis,,Sclerosis,,,,
,,,,,Trileaflet valve; sclerosis,,,,
,,,,,Bicuspid valve (RCC-LCC raphe); sclerosis,,,,
,,,,,Unable to determine number of leaflets; sclerosis,,,,
,,Cusp Thickening,None,,Trileaflet valve; normal structure,,,,
,,,Mild,,Trileaflet valve; mild valve thickening,,,,
,,,Moderate,,Trileaflet valve; moderate valve thickening,,,,
,,,,,Unable to determine number of leaflets; moderate valve thickening,,,,
,,Mobility,Normal,,No restriction of cusp motion,,,,
,,,,,No restricted cusp motion,,,,
,,,Mild,,Mildly restricted cusp motion,,,,
,,,Moderate,,Moderately restricted cusp motion,,,,
,,,Severe,,Severely restricted cusp motion,,,,
,Regurgitation,Quantity,None,,No valvular regurgitation,,,,
,,,,,No evidence of valvular regurgitation,,,,
,,,Trivial,,Trivial valvular regurgitation,,,,
,,,Mild,,Mild valvular regurgitation,,,,
,,,,,"Mild valvular regurgitation, centrally directed jet",,,,
,,,Mild-moderate,,Mild to moderate valvular regurgitation,,,,
,,,,,"Mild to moderate valvular regurgitation, centrally directed jet",,,,
,,,,,"Mild to moderate valvular regurgitation, posteriorly directed jet",,,,
,,,Moderate,,Moderate valvular regurgitation,,,,
,,,,,"Moderate valvular regurgitation, centrally directed jet",,,,
,,,Moderate-severe,,Moderate to severe valvular regurgitation,,,,
,,,Severe,,,,,,
,,Direction,Central,,"Mild valvular regurgitation, centrally directed jet",,,,
,,,,,"Mild to moderate valvular regurgitation, centrally directed jet",,,,
,,,,,"Moderate valvular regurgitation, centrally directed jet",,,,
,,,Posterior,,"Mild to moderate valvular regurgitation, posteriorly directed jet",,,,
,,,Anterior,,,,,,
,,AR P1/2T,#,,{FROM MEASUREMENTS},,,,
,,AR Vena Contracta,#,,{FROM MEASUREMENTS},,,,
,,AR EROA,#,,{FROM MEASUREMENTS},,,,
,,AR Volume,#,,{FROM MEASUREMENTS},,,,
,Stenosis,Grade,Normal,,No stenosis,,,,
,,,Mild,,Mild stenosis,,,,
,,,,,Mild aortic stenosis,,,,
,,,Moderate,,Moderate stenosis,,,,
,,,,,Moderate aortic stenosis,,,,
,,,Severe,,Severe stenosis,,,,
,,,,,Severe aortic stenosis,,,,
,,AoV Mean PG,#,,{FROM MEASUREMENTS},,,,
,,,,,Mean pressure gradient,,,,
,,AoV Peak PG,#,,{FROM MEASUREMENTS},,,,
,,,,,Peak pressure gradient,,,,
,,AoV Vmax,#,,{FROM MEASUREMENTS},,,,
,,,,,Peak velocity,,,,
,,AVA VTI,#,,{FROM MEASUREMENTS},,,,
,,,,,Valve area (VTI),,,,
,,AVA VTI index,#,,{FROM MEASUREMENTS},,,,
,,,,,Valve area (VTI) index,,,,
,,Area by Pressure Half Time,#,,Valve area by pressure half time method is,,,,
,Prosthetic,Type,Mechanical,,Mechanical prosthesis,,,,
,,,Bioprosthesis,,Bioprosthesis,,,,
,,,TAVI,,Transcatheter heart valve,,,,
,,Well Seated,Boolean,,Prosthesis well seated,,,,
,,,,,"Prosthesis well seated, normal prosthesis hemodynamics",,,,
,,Hemodynamics,Normal,,"Prosthesis well seated, normal prosthesis hemodynamics",,,,
,,Regurgitation,None,,No evidence of valvular prosthesis regurgitation,,,,
,,,Trivial,,Trivial valvular prosthesis regurgitation,,,,
,,,Mild,,Mild valvular prosthesis regurgitation,,,,
,Quality of Scan,Quality,NWS,,The aortic valve is not well seen,,,,
Pulmonary Valve,Structure,Leaflet thickening,Normal,,Normal valve,,,,
,,,Thick,,"Thickened valve, with good leaflet excursion",,,,
,,Mobility,Normal,,Normal valve,,,,
,,,,,"Thickened valve, with good leaflet excursion",,,,
,Regurgitation,Quantity,None,,No regurgitation,,,,
,,,Trivial,,Trivial regurgitation,,,,
,,,Mild,,Mild regurgitation,,,,
,,,Mild-moderate,,Mild-moderate regurgitation,,,,
,,,,,Mild-moderate pulmonary regurgitation,,,,
,,,Moderate,,Moderate regurgitation,,,,
,,,Severe,,Severe regurgitation,,,,
,,PR P1/2 Time,#,,{FROM MEASUREMENTS},,,,
,,PR EDV,#,,{FROM MEASUREMENTS},,,,
,Pulmonary Arterial Hypertension,PAT,#,,{FROM MEASUREMENTS},,,,
,Pulmonary Artery,Dilated,Boolean (False),,Normal size main pulmonary artery by linear dimension,,,,
,,,Boolean (True),,Dilated pulmonary artery,,,,
,,,,,Dilated main pulmonary artery by linear dimension,,,,
,RVOT Characteristics,PLAX RVOT Diam,#,,{FROM MEASUREMENTS},,,,
,,Prox RVOT Diam,#,,{FROM MEASUREMENTS},,,,
,,Distal RVOT Diam,#,,{FROM MEASUREMENTS},,,,
,,RVOT Vmax,#,,{FROM MEASUREMENTS},,,,
,,,,,Right ventricular outflow tract peak velocity:,,,,
,,PV max velocity,#,,{FROM MEASUREMENTS},,,,
,,,,,Pulmonary valve peak velocity:,,,,
,,PV max PG,#,,{FROM MEASUREMENTS},,,,
,,,,,Pulmonary valve peak gradient:,,,,
,Quality of Scan,Quality,NWS,,Not well seen,,,,
Lung Pressures,PASP,PASP value,#,,Estimated PASP:,,,,
,,,,,Normal pulmonary artery systolic pressure:,,,,
,,,,,Pulmonary artery systolic pressure is normal:,,,,
,,,,,Mildly elevated pulmonary artery systolic pressure:,,,,
,,,,,Pulmonary artery systolic pressure is mildly elevated:,,,,
,,,,,Moderately elevated pulmonary artery systolic pressure:,,,,
,,,,,Severely elevated pulmonary artery systolic pressure:,,,,
,,,,,Estimated pulmonary artery systolic pressure is calculated at,,,,
,,,,,The pulmonary artery systolic pressure is normal; estimated PASP:,,,,
,,,,,The pulmonary artery systolic pressure is mildly elevated; estimated PASP:,,,,
,,,,,The estimated pulmonary artery systolic pressure is calculated at,,,,
,,Grade,Unknown,,Insufficient tricuspid regurgitation for estimation of RVSP/PASP,,,,
,,,Normal,,Normal pulmonary artery systolic pressure:,,,,
,,,,,Pulmonary artery systolic pressure is normal:,,,,
,,,,,The pulmonary artery systolic pressure is normal,,,,
,,,,,The pulmonary artery systolic pressure is normal; estimated PASP:,,,,
,,,Mild,,Mildly elevated pulmonary artery systolic pressure:,,,,
,,,,,Pulmonary artery systolic pressure is mildly elevated:,,,,
,,,,,The pulmonary artery systolic pressure is mildly elevated,,,,
,,,,,The pulmonary artery systolic pressure is mildly elevated; estimated PASP:,,,,
,,,Moderate,,Moderately elevated pulmonary artery systolic pressure:,,,,
,,,,,Pulmonary artery systolic pressure is moderately elevated,,,,
,,,,,The pulmonary artery systolic pressure is moderately elevated,,,,
,,,Severe,,Severely elevated pulmonary artery systolic pressure:,,,,
,,,,,Pulmonary artery systolic pressure is severely elevated,,,,
,MPAP,MPAP value,#,,Mean pulmonary artery pressure: ,,,,
,,,,,Mean pulmonary artery pressure elevated:,,,,
,RVSP,RVSP value,#,,{FROM MEASUREMENTS},,,,
,,,,,RVSP is at least,,,,
,,,,,Right ventricular systolic pressure is at least:,,,,
,,,Unknown,,Insufficient tricuspid regurgitation for estimation of RVSP/PASP,,,,
,RAP,RAP value,#,,Right atrial pressure,,,,
,,,,,Right atrial pressure is estimated at,,,,
,,,,,RAP estimated at,,,,
,,,,,RA pressure assumed to,,,,
,,,,,RA pressure estimated to,,,,
,,,,,IVC not well seen; RAP estimated at,,,,
,,,,,"IVC not well seen, RA pressure assumed to",,,,
,,,,,"IVC not well seen, RAP estimated at",,,,
,,Grade,Normal,,Normal RA pressure,,,,
,,,Unknown,,"IVC not visualized, cannot obtain right atrial pressure",,,,
,,,,,"IVC visualized, unable to assess collapse for RA pressure estimate",,,,
,Quality of Scan,PASP quality,Underestimated,,RVSP/PASP may be underestimated due to incomplete tricuspid regurgitation Doppler envelope,,,,
,,,,,PASP may be underestimated,,,,
,,,,,RVSP/PASP may be underestimated due to severe tricuspid regurgitation,,,,
,,RVSP quality,Underestimated,,RVSP/PASP may be underestimated due to incomplete tricuspid regurgitation Doppler envelope,,,,
,,,,,RVSP may be underestimated due to incomplete tricuspid regurgitation Doppler envelope,,,,
,,,,,RVSP may be underestimated due to incomplete tricuspid regurgitation Doppler velocity,,,,
,,,,,RVSP/PASP may be underestimated due to severe tricuspid regurgitation,,,,
Aorta,Sinuses of Valsalva,Aorta Sinuses,#,,{FROM MEASUREMENTS},,,,
,,State,Dilated,,Dilated sinuses of Valsalva by linear dimension,,,,
,,,,,Dilated sinuses of Valsalva linear dimension,,,,
,,,,,Dilatation of the sinuses of Valsalva,,,,
,,,,,Dilatation of the sinuses of Valsalva and proximal ascending aorta,,,,
,,,,,Dilated aortic sinuses,,,,
,,,,,Mildly dilated aortic sinuses,,,,
,,,,,Mild dilatation of the sinuses of Valsalva,,,,
,,,,,Aneurysm of the sinuses of Valsalva,,,,
